,ID,Profit
0,0,191867.62412877186
1,1,191631.05238384454
2,2,182312.3302014882
3,3,182851.07019824514
4,4,170184.03117735527
5,5,156991.18174795073
6,6,156065.18337778273
7,7,155657.31565480068
8,8,152090.77310553455
9,9,150395.8294354069
10,10,135833.1009652491
11,11,135798.71119381618
12,12,140540.4996967672
13,13,134579.63175501834
14,14,132595.76221415764
15,15,130294.55614165081
16,16,125793.92655291047
17,17,126209.72285288286
18,18,135659.56607869567
19,19,122882.32584236636
20,20,117835.38481011755
21,21,111969.75024448863
22,22,113088.74948464261
23,23,110496.69885551475
24,24,108543.71533736246
25,25,106782.00926405424
26,26,100703.62829827356
27,27,115017.29363419964
28,28,97761.05228022771
29,29,100662.1422930958
30,30,100154.39192354135
31,31,67319.94705424184
32,32,97320.64222056333
33,33,89993.81533634303
34,34,95465.26657434288
35,35,89806.79103934327
36,36,90445.08322913741
37,37,90910.61200679762
38,38,65985.2195161112
39,39,81197.13795015714
40,40,87371.73375666366
41,41,83333.46208317275
42,42,71349.2400626617
43,43,69736.52264337715
44,44,65210.21519883177
45,45,65096.65246463425
46,46,49789.84064265099
47,47,54095.08217818515
48,48,48882.7876490259
49,49,14431.436436199952
